,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ACCX,0x40,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
ACCY,0x41,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
ACCZ,0x42,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
GYROX,0x43,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
GYROY,0x44,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
GYROZ,0x45,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
MAGX,0x46,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
MAGY,0x47,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
MAGZ,0x48,PK_CNT,VAL0,VAL0,VAL0,VAL0,VAL1,VAL1,VAL1,VAL1,VAL2,VAL2,VAL2,VAL2,VAL3,VAL3,VAL3,VAL3,VAL4,VAL4,VAL4,VAL4,VAL5,VAL5,VAL5,VAL5,VAL6,VAL6,VAL6,VAL6,,
UVA,0x11,PK_CNT,VAL0,VAL0,VAL1,VAL1,VAL2,VAL2,VAL3,VAL3,VAL4,VAL4,VAL5,VAL5,VAL6,VAL6,VAL7,VAL7,VAL8,VAL8,VAL9,VAL9,VAL10,VAL10,VAL11,VAL11,VAL12,VAL12,VAL13,VAL13,VAL14,VAL14
